groups,genotype,dss,pathobiont,ASF_356,ASF_360,ASF_361,ASF_457,ASF_492,ASF_500,ASF_502,ASF_519,id
b6_dss,b6,yes,no,131421912,34549,3.92E+11,25844709,177449,1402730392,7367433807,663014048,3
b6_dss,b6,yes,no,438078331,49924,2.1E+11,20333181,256418,1741733154,7890622039,2118200463,4
b6_dss,b6,yes,no,662477432,38471,2.19E+11,42336669,197594,6975214329,5999174862,2389826511,5
b6_dss,b6,yes,no,573468862,41864,2.04E+11,44899676,215019,1505512163,4007449032,1537613706,6
b6_dss,b6,yes,no,2161880046,65555,2.33E+11,342254967,336698,3629122442,10679682946,2790948196,7
b6_dss,b6,yes,no,3516445626,62141,1.3E+11,212868232,682898,1394129338,7427931001,3239903266,8
b6_dss,b6,yes,no,474174672,45691,1.69E+11,186810540,234675,467427576,9678022777,3634611659,9
b6_dss,b6,yes,no,1875909920,621832,2.7E+11,773570795,1563294,2798080432,19896903855,11379215360,10
b6_dss,b6,yes,no,6252725527,65583,2.36E+11,760332824,336845,2455844594,21515504012,11774440053,11
b6_dss,b6,yes,no,5728998018,69142,1.87E+11,1077665214,355126,3639043173,11728384131,6735653528,12
b6_dss,b6,yes,no,10299940360,96208,6.06E+11,370033031,494140,3278220468,16429698100,8840768613,13
b6_dss,b6,yes,no,2263781979,71422,3.57E+11,258412493,366832,3101996581,19868846793,5414701811,14
b6_hb,b6,no,yes,690567659,37960,95020366073,184644400,3317625841,2404755100,8067572904,1206932615,1
b6_hb,b6,no,yes,681045685,40280,1.27E+11,163106576,2657234417,1702916443,6741221295,1042199185,2
b6_hb,b6,no,yes,3164529698,57643,2.51E+11,352485695,5907299961,2478819010,6910536365,2105379855,3
b6_hb,b6,no,yes,440723327,28391,2.76E+11,208453535,2767256156,1853943013,3856625928,931022268,4
b6_hb,b6,no,yes,257889863,39150,3.61E+11,207711567,3848941952,1758644012,6937821385,1610501149,5
b6_hb,b6,no,yes,1038858998,51479,4.82E+11,320784528,4321959804,2628447850,9890116231,1983903613,6
b6_hb,b6,no,yes,1873568809,47310,4.86E+11,218579336,2734932563,1857167161,4233965450,1275585438,7
b6_hb,b6,no,yes,7012544433,46830,5.05E+11,956335564,5876118709,2810908725,14557754076,6475941805,8
b6_hb,b6,no,yes,11011542237,53056,3.51E+11,2965489593,6125662869,3595448467,13892099548,9140741929,9
b6_hb,b6,no,yes,5277130497,44571,4.14E+11,520069796,5387919670,1685993119,10621040137,4209845245,10
b6_hb,b6,no,yes,1204169049,48197,5.01E+11,289892546,3435715383,595487462,10629588454,3940780710,11
b6_hb,b6,no,yes,2257903905,38000,5.15E+11,888273253,2463994243,2745433494,8213087836,5551750713,12
b6_hb,b6,no,yes,721549604,262408,6.15E+11,1499237015,3512431946,2738667628,14820767277,5318815366,13
b6_hb,b6,no,yes,2422309874,47339,4.26E+11,1191572769,2915033150,1796744346,14666807527,6412920142,14
b6_hb,b6,no,yes,4555895050,45648,4.82E+11,3258081166,4947879279,5077004974,15488118601,11435667841,15
b6_hb,b6,no,yes,1038257057,30259,6.03E+11,1040553426,3123615331,1884869653,10129373739,5106840883,16
b6_hbdss,b6,yes,yes,129530538,467656,1.63E+11,1277377823,1040888,563479648,194322887,1364923401,1
b6_hbdss,b6,yes,yes,282024755,296169,4.12E+11,667819449,1521169,758303922,122807241,292309683,2
b6_hbdss,b6,yes,yes,624783227,131859,1.43E+11,1284932361,677246,621357910,183634680,365929708,3
