groups,dss,asf,pathobiont,ASF_356,ASF_360,ASF_361,ASF_457,ASF_492,ASF_500,ASF_502,ASF_519,id
hbbirthasfadultdss,yes,adult,birth,35037741961,918439,6.38E+11,13381356459,466945,1939095068,10367106176,7231962012,4
hbbirthasfadultdss,yes,adult,birth,108624499,168751,3.35E+11,1465471551,228962,15057224,316495001,7244622430,5
hbbirthasfadultdss,yes,adult,birth,1558594852,2295249,4.27E+11,309493505,958119,3097193,190344849,1020309308,6
hbbirthasfadultdss,yes,adult,birth,44306606,22538,51125133010,284769911,71621,4855082,36072558,118568560,7
hbbirthasfadultdss,yes,adult,birth,6420615843,724153,4.75E+11,5547169196,264454,569195610,3214564341,15315546030,8
hbbirthasfadultdss,yes,adult,birth,284302098,107652,3.42E+11,217550138,876021,2398169,105169538,2484257030,9
hbbirthasfadultdss,yes,adult,birth,501722286,374135,5.59E+11,3387972516,204269,422230304,1871557884,7491964722,10
hbbirthasfadultdss,yes,adult,birth,356305884,520666,5.65E+11,182399478,172089,4632921,137443124,6377083525,11
hbbirthasfadultdss,yes,adult,birth,180522662,444290,4.47E+11,396399530,228621,44505087,453009340,8981374028,12
hbbirthasfadultdss,yes,adult,birth,1753583727,166152,74803917936,2912906256,4332190,819898520,12147158539,406825594,13
hbbirthasfadultdss,yes,adult,birth,5237609804,159908,5.29E+11,5700451166,293573,1098184010,4946070135,6025899629,14
hbandasfbirth,no,birth,birth,20719598930,81129,2.52E+11,4667806605,15748011224,3349903060,17184331916,6171811025,1
hbandasfbirth,no,birth,birth,11742184115,400905,87102502867,4382591635,11189708287,2529937737,12938039874,4006677578,2
hbandasfbirth,no,birth,birth,5416669877,46880,1.19E+11,2058613286,4825545916,1219883733,7164310063,2902197381,3
hbandasfbirth,no,birth,birth,8918571243,416681,3.83E+11,5407560884,12846192116,3720140306,14002402053,6118310549,4
hbandasfbirth,no,birth,birth,7835967250,43709,3.36E+11,3857565490,8411633897,2187043975,11836436273,6107007624,5
hbandasfbirth,no,birth,birth,7499595783,52267,53183961873,3046175882,10622453398,1983780887,7987579774,6256968414,6
hbandasfbirth,no,birth,birth,4924942026,124696,1.66E+11,3320062183,12215616044,2707349351,11274198966,5315099664,7
hbandasfbirth,no,birth,birth,2324160137,53719,1.53E+11,1022072193,20647131359,1259158747,10602047829,4100663694,8
hbandasfbirth,no,birth,birth,11130313433,483977,74765494178,1925531925,9168983262,2708395174,10127610916,3482564576,9
hbandasfbirth,no,birth,birth,4592008187,70955,75864839696,3115784178,8751310237,3659672173,10590977438,4058930978,10
hbandasfbirth,no,birth,birth,6978123783,122158,67673168117,2617270145,7408839825,1680045539,7486700886,1860353030,11
hbandasfbirth,no,birth,birth,13543056732,67480,1.65E+11,6558868653,10714317727,2535405763,19414827622,6641787378,12
hbandasfbirth,no,birth,birth,24863775984,59393,1.23E+11,3319700152,7179607397,2308048784,9387202765,2841840201,13
hbandasfbirth,no,birth,birth,4658657767,65290,45358261282,2125717878,5872364242,288580864.8,6187114205,1660526627,14
hbandasfbirthdss,yes,birth,birth,4127810451,87596,73114244196,2752816881,449905,2357490628,33775218420,6550312975,1
hbandasfbirthdss,yes,birth,birth,11599928021,524546,4.52E+11,868533759,40591130,211113103,4037403832,3099092138,2
hbandasfbirthdss,yes,birth,birth,1123309762,47789,2.03E+11,17279642,353413,NA,NA,38382642,3
hbandasfbirthdss,yes,birth,birth,195939831,73689,2.68E+11,373446938,234172,5775375,174265609,573470331,4
hbandasfbirthdss,yes,birth,birth,NA,62622,NA,NA,321636,NA,NA,NA,5
hbandasfbirthdss,yes,birth,birth,2244121682,162827,1.50E+11,1798799702,836304,434104751,919564300,2186158203,6
hbandasfbirthdss,yes,birth,birth,NA,50892,NA,72441859,261387,519931,NA,87018919,7
hbandasfbirthdss,yes,birth,birth,10557122084,117697,77138896338,1072010732,604509,2901852384,25610281533,6505470055,8
hbandasfbirthdss,yes,birth,birth,20885675698,357367,1.77E+11,1738765897,361712,3820685456,34483445665,8517933823,9
hbandasfbirthdss,yes,birth,birth,11298305548,53287,NA,908825420,273692,1685962856,22274914465,3497195329,10
hbandasfbirthdss,yes,birth,birth,6212194051,64960,1.54E+11,655815819,333642,1882827173,28464041218,3086908480,11
hbandasfbirthdss,yes,birth,birth,15164822677,239934,1.42E+11,1502384309,471763,10284842866,41068546708,5551143290,12
